intersection_id,tollgate_id,starting_time,travel_time,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,week,hour,minute
A,2,2016-07-19 00:20:00,58.05,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,0,20
A,2,2016-07-19 01:20:00,56.87,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,20
A,3,2016-07-19 01:20:00,94.57,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,20
B,1,2016-07-19 00:20:00,79.76,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,0,20
B,1,2016-07-19 00:40:00,137.98,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,0,40
B,1,2016-07-19 01:20:00,176.7,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,20
B,3,2016-07-19 00:00:00,70.85,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,0,0
B,3,2016-07-19 00:20:00,148.79,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,0,20
C,1,2016-07-19 01:20:00,214.87,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,20
C,3,2016-07-19 00:40:00,113.54,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,0,40
A,2,2016-07-19 01:40:00,77.74,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,40
A,2,2016-07-19 02:20:00,42.64,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,2,20
A,2,2016-07-19 02:40:00,40.17,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,2,40
A,2,2016-07-19 03:20:00,41.92,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,3,20
A,2,2016-07-19 03:40:00,39.43,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,3,40
A,2,2016-07-19 04:00:00,48.13,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,4,0
A,2,2016-07-19 04:20:00,62.11,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,4,20
A,3,2016-07-19 02:20:00,77.61,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,2,20
A,3,2016-07-19 03:00:00,93.09,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,3,0
B,1,2016-07-19 04:20:00,94.06,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,4,20
B,3,2016-07-19 01:40:00,93.72,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,40
B,3,2016-07-19 02:00:00,67.81,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,2,0
B,3,2016-07-19 02:40:00,167.54,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,2,40
B,3,2016-07-19 03:40:00,98.49,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,3,40
B,3,2016-07-19 04:00:00,96.67,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,4,0
B,3,2016-07-19 04:20:00,53.15,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,4,20
C,1,2016-07-19 01:40:00,160.64,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,40
A,2,2016-07-19 04:40:00,46.12,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,4,40
A,2,2016-07-19 05:00:00,49.56,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,5,0
A,2,2016-07-19 05:20:00,54.84,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,5,20
A,2,2016-07-19 05:40:00,58.08,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,5,40
A,2,2016-07-19 06:00:00,46.36,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,6,0
A,2,2016-07-19 06:20:00,48.59,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,6,20
A,2,2016-07-19 06:40:00,66.64,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,6,40
A,2,2016-07-19 07:00:00,64.68,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,7,0
A,2,2016-07-19 07:20:00,85.68,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,7,20
A,3,2016-07-19 04:40:00,91.61,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,4,40
A,3,2016-07-19 05:20:00,168.36,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,5,20
