intersection_id,tollgate_id,starting_time,travel_time,cross_in_number,cross_out_number,length,link_count,3_length,3_count,1_length,1_count,2_length,2_count,4_length,4_count
C,3,2016-10-25 08:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-25 08:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-25 08:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-25 09:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-25 09:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-25 09:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-25 17:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-25 17:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-25 17:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-25 18:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-25 18:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-25 18:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 08:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 08:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 08:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 09:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 09:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 09:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 17:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 17:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 17:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 18:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 18:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-26 18:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 08:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 08:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 08:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 09:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 09:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 09:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 17:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 17:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 17:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 18:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 18:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-27 18:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 08:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 08:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 08:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 09:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 09:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 09:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 17:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 17:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 17:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 18:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 18:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-28 18:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 08:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 08:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 08:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 09:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 09:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 09:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 17:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 17:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 17:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 18:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 18:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-29 18:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 08:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 08:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 08:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 09:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 09:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 09:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 17:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 17:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 17:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 18:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 18:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-30 18:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 08:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 08:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 08:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 09:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 09:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 09:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 17:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 17:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 17:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 18:00:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 18:20:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
C,3,2016-10-31 18:40:00,0,2,1,1206,8,865.0,5.0,197,1,0.0,0.0,144.0,2.0
