intersection_id,tollgate_id,starting_time,avg_travel_time,week,hour,minute,holidays,index,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,cross_in_number,cross_out_number,length,link_count,3_length,3_count,1_length,1_count,2_length,2_count,4_length,4_count
A,3,2016-07-19 00:00:00,94.57,2,0,0,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 00:20:00,94.57,2,0,20,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 00:40:00,94.57,2,0,40,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 01:00:00,94.57,2,1,0,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 01:20:00,94.57,2,1,20,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 01:40:00,88.91666666666666,2,1,40,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 02:00:00,83.26333333333334,2,2,0,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 02:20:00,77.61,2,2,20,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 02:40:00,85.35,2,2,40,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 03:00:00,93.09,2,3,0,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 03:20:00,92.794,2,3,20,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 03:40:00,92.498,2,3,40,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 04:00:00,92.202,2,4,0,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 04:20:00,91.906,2,4,20,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 04:40:00,91.61,2,4,40,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 05:00:00,129.985,2,5,0,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 05:20:00,168.36,2,5,20,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 05:40:00,146.51,2,5,40,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 06:00:00,124.66,2,6,0,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 06:20:00,89.84600000000002,2,6,20,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 06:40:00,180.01600000000002,2,6,40,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 07:00:00,101.395,2,7,0,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 07:20:00,124.28800000000001,2,7,20,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 07:40:00,155.49499999999998,2,7,40,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 08:00:00,137.375,2,8,0,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 08:20:00,165.48285714285717,2,8,20,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 08:40:00,136.67999999999998,2,8,40,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 09:00:00,192.68,2,9,0,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 09:20:00,159.78,2,9,20,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
A,3,2016-07-19 09:40:00,129.275,2,9,40,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,1,2,852,8,448.0,5.0,404,3,0.0,0.0,0.0,0.0
