intersection_id,tollgate_id,starting_time,avg_travel_time,week,hour,minute,holidays,index,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,cross_in_number,cross_out_number,length,link_count,3_length,3_count,1_length,1_count,2_length,2_count,4_length,4_count
B,1,2016-07-19 00:00:00,79.76,2,0,0,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 00:20:00,79.76,2,0,20,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 00:40:00,137.98,2,0,40,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 01:00:00,157.33999999999997,2,1,0,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 01:20:00,176.7,2,1,20,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 01:40:00,167.51777777777778,2,1,40,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 02:00:00,158.33555555555554,2,2,0,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 02:20:00,149.15333333333334,2,2,20,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 02:40:00,139.9711111111111,2,2,40,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 03:00:00,130.7888888888889,2,3,0,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 03:20:00,121.60666666666665,2,3,20,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 03:40:00,112.42444444444445,2,3,40,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 04:00:00,103.24222222222222,2,4,0,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 04:20:00,94.06,2,4,20,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 04:40:00,85.03333333333333,2,4,40,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 05:00:00,76.00666666666667,2,5,0,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 05:20:00,66.98,2,5,20,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 05:40:00,87.83,2,5,40,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 06:00:00,170.09,2,6,0,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 06:20:00,135.19666666666666,2,6,20,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 06:40:00,100.30333333333333,2,6,40,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 07:00:00,65.41,2,7,0,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 07:20:00,81.245,2,7,20,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 07:40:00,97.08,2,7,40,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 08:00:00,112.91499999999999,2,8,0,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 08:20:00,128.75,2,8,20,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 08:40:00,71.89333333333333,2,8,40,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 09:00:00,177.10666666666665,2,9,0,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 09:20:00,104.33,2,9,20,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 09:40:00,118.50333333333333,2,9,40,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
B,1,2016-07-19 10:00:00,132.67666666666668,2,10,0,0,147,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2,1,821,9,180.0,1.0,275,4,222.0,2.0,144.0,2.0
