intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",70.94580841064453
A,2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",74.9291000366211
A,2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",73.16525268554688
A,2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",71.6640853881836
A,2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",69.33086395263672
A,2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",67.93248748779297
A,2,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",66.61005401611328
A,2,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",64.26393127441406
A,2,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",65.67481231689453
A,2,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",63.88379669189453
A,2,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",60.3531494140625
A,2,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",63.249534606933594
A,2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",70.94580841064453
A,2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",74.9291000366211
A,2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",73.16525268554688
A,2,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",71.6640853881836
A,2,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",69.33086395263672
A,2,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",67.93248748779297
A,2,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",66.61005401611328
A,2,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",64.26393127441406
A,2,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",65.67481231689453
A,2,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",63.88379669189453
A,2,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",60.3531494140625
A,2,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",63.249534606933594
A,2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",70.94580841064453
A,2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",74.9291000366211
A,2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",73.16525268554688
A,2,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",71.6640853881836
A,2,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",69.33086395263672
A,2,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",67.93248748779297
A,2,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",66.61005401611328
A,2,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",64.26393127441406
A,2,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",65.67481231689453
A,2,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",63.88379669189453
A,2,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",60.3531494140625
A,2,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",63.249534606933594
A,2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",70.94580841064453
A,2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",74.9291000366211
A,2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",73.16525268554688
