intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",61.83
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",61.88
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.94
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",62.18
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",62.23
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",62.29
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",64.77
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",64.83
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",64.88
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",65.12
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",65.18
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",65.23
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",61.42
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",61.48
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",61.53
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",61.78
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",61.83
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",61.88
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",63.46
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",63.52
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",63.57
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",63.81
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",63.87
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",63.92
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",63.15
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",63.21
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",63.26
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",63.5
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",63.56
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",63.61
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",65.81
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",65.87
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",65.92
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",66.16
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",66.22
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",66.27
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",62.82
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",62.88
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",62.93
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",63.18
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",63.23
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",63.28
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",67.14
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",67.2
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",67.25
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",67.49
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",67.55
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",67.6
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",66.43
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",66.49
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",66.54
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",66.78
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",66.84
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",66.89
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",68.66
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",68.71
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",68.76
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",69.01
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",69.06
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",69.11
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",59.1
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",59.15
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",59.21
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",59.45
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",59.5
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",59.56
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",61.71
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",61.76
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",61.82
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",62.06
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",62.12
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",62.17
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",61.84
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",61.89
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",61.95
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",62.19
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",62.24
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",62.3
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",63.26
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",63.32
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",63.37
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",63.61
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",63.67
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",63.72
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",108.58
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",109.65
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",110.71
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",109.04
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",110.11
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",111.17
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",115.07
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",116.13
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",117.2
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",115.53
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",116.59
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",117.66
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",112.04
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",113.11
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",114.17
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",112.5
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",113.57
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",114.63
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",112.0
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",113.06
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",114.13
